ISLAND,GRID_ID,CORAL_FREQ,CORAL_MEAN,CORAL_SD,CCA_FREQ,CCA_MEAN,CCA_SD,MACROALGAE_FREQ,MACROALGAE_MEAN,MACROALGAE_SD,SURF_FREQ,SURF_MEAN,SURF_SD,SURF_SUM,TED_FREQ,TED_MEAN,TED_SD,TED_SUM,population_status,hum_pop,distant_hum_pop,group
AGR,1,,,,,,,,,,102,124122.5168,14327.58541,12660496.72,1612,0.259379031,0.377328049,418.1189979,0,0,0,8
AGR,2,,,,,,,,,,102,124122.5168,14327.58541,12660496.72,1607,0.264132836,0.388234442,424.4614672,0,0,0,8
AGR,3,,,,,,,,,,68,124052.7786,14343.07288,8435588.945,1605,0.271344302,0.400500188,435.507605,0,0,0,8
AGR,4,,,,,,,,,,102,124724.0541,14652.67856,12721853.52,1559,0.265139456,0.416892132,413.3524119,0,0,0,8
AGR,5,1,15,,1,8,,1,56,,102,124724.0541,14652.67856,12721853.52,1536,0.267136099,0.419299383,410.321048,0,0,0,8
AGR,6,,,,,,,,,,102,124724.0541,14652.67856,12721853.52,1525,0.275941982,0.437690353,420.8115232,0,0,0,8
AGR,7,2,11.5,4.949747468,2,2,0,2,40,7.071067812,102,124724.0541,14652.67856,12721853.52,1533,0.280303036,0.442212205,429.7045538,0,0,0,8
AGR,8,,,,,,,,,,68,125195.1816,14868.3504,8513272.347,1524,0.292114301,0.463780867,445.1821954,0,0,0,8
AGR,9,1,15,,1,2,,1,45,,102,125505.7169,15010.23448,12801583.12,1534,0.297627641,0.471232699,456.560801,0,0,0,8
AGR,10,1,15,,1,8,,1,56,,102,125505.7169,15010.23448,12801583.12,1512,0.304327082,0.482694288,460.142548,0,0,0,8
AGR,11,2,5,4.242640687,2,5,4.242640687,2,35,14.14213562,102,125505.7169,15010.23448,12801583.12,1509,0.313035588,0.493659086,472.3707016,0,0,0,8
AGR,12,2,15,0,2,1,1.414213562,2,45.5,14.8492424,102,125505.7169,15010.23448,12801583.12,1520,0.323896733,0.511926623,492.3230346,0,0,0,8
AGR,13,2,8.5,9.192388155,2,2,0,2,50.5,7.778174593,102,125730.5433,15139.46953,12824515.42,1636,0.386330618,0.531815674,632.036891,0,0,0,8
AGR,14,3,15,0,3,3.333333333,4.163331999,3,42,12.12435565,102,125730.5433,15139.46953,12824515.42,1642,0.443006884,0.628737596,727.417303,0,0,0,8
AGR,15,1,8,,1,8,,1,25,,102,125730.5433,15139.46953,12824515.42,1553,0.60797672,0.885553108,944.1878467,0,0,0,8
AGR,16,3,13.66666667,9.814954576,3,5.333333333,4.618802154,3,25,0,102,125730.5433,15139.46953,12824515.42,1545,0.610541729,0.887831354,943.2869712,0,0,0,8
AGR,17,1,8,,1,8,,1,69,,102,125029.3992,14829.75777,12752998.72,1564,0.61274266,0.888708782,958.3295206,0,0,0,8
AGR,18,5,15.6,6.066300355,5,6.8,2.683281573,5,27.2,16.85823241,102,125029.3992,14829.75777,12752998.72,1546,0.614602402,0.891143238,950.1753134,0,0,0,8
AGR,19,,,,,,,,,,102,125029.3992,14829.75777,12752998.72,1550,0.615970684,0.892258917,954.7545595,0,0,0,8
AGR,20,5,11.6,8.792041856,5,5.6,3.286335345,5,35.2,16.13071604,102,125029.3992,14829.75777,12752998.72,1535,0.617504955,0.89375922,947.8701064,0,0,0,8
AGR,21,1,15,,1,2,,1,25,,102,125029.3992,14829.75777,12752998.72,1530,0.619695869,0.895264949,948.1346799,0,0,0,8
