N_OBS_CELL,GRID_ID,CORAL,MACRO,CCA,ISLAND


0,1,0,0,0,AGR


0,2,0,0,0,AGR


0,3,0,0,0,AGR


0,4,0,0,0,AGR


1,5,15,56,8,AGR


0,6,0,0,0,AGR


1,7,8,45,2,AGR


1,7,15,35,2,AGR


0,8,0,0,0,AGR


1,9,15,45,2,AGR


1,10,15,56,8,AGR


1,11,2,25,8,AGR


1,11,8,45,2,AGR


1,12,15,56,2,AGR


1,12,15,35,0,AGR


1,13,2,56,2,AGR


1,13,15,45,2,AGR


1,14,15,56,8,AGR


1,14,15,35,0,AGR


1,14,15,35,2,AGR


1,15,8,25,8,AGR


1,16,8,25,0,AGR


1,16,8,25,8,AGR


1,16,25,25,8,AGR


1,17,8,69,8,AGR


1,18,15,56,8,AGR


1,18,15,25,2,AGR


1,18,8,15,8,AGR


1,18,15,15,8,AGR


1,18,25,25,8,AGR


0,19,0,0,0,AGR


1,20,15,56,8,AGR


1,20,8,45,2,AGR


1,20,2,25,8,AGR


1,20,8,35,8,AGR


1,20,25,15,2,AGR


1,21,15,25,2,AGR


1,22,8,35,2,AGR


1,22,2,25,8,AGR


1,22,8,15,2,AGR


1,23,2,56,2,AGR


1,23,15,35,2,AGR


1,24,15,56,8,AGR


1,24,15,25,2,AGR


1,25,8,56,2,AGR


1,25,8,25,8,AGR


1,26,15,35,8,AGR


1,27,25,56,15,AGR


1,27,8,15,8,AGR


1,28,8,25,2,AGR


1,28,15,15,2,AGR


1,29,8,25,8,AGR


1,30,2,15,2,AGR


1,30,2,8,8,AGR


1,30,8,8,2,AGR


1,31,25,45,15,AGR


1,31,8,2,15,AGR


1,31,15,2,2,AGR


1,32,8,15,2,AGR


1,33,45,45,15,AGR


1,33,25,2,8,AGR


0,34,0,0,0,AGR


1,35,35,45,8,AGR


1,36,15,2,15,AGR


1,37,35,45,15,AGR


1,38,8,2,15,AGR


1,39,35,45,15,AGR


1,40,35,45,8,AGR


1,40,8,2,8,AGR


1,40,15,0,2,AGR


0,41,0,0,0,AGR


1,42,15,69,15,AGR


1,42,8,2,2,AGR


1,42,15,0,2,AGR


1,43,8,69,8,AGR


1,44,35,45,8,AGR


1,44,8,8,8,AGR


1,44,15,8,2,AGR


1,45,25,88,2,AGR


1,46,25,56,2,AGR


1,46,15,8,8,AGR


1,47,15,15,2,AGR


1,48,25,56,2,AGR


1,48,15,8,2,AGR


1,49,25,56,8,AGR


1,50,25,56,8,AGR


1,50,25,8,2,AGR


1,51,25,56,8,AGR


1,51,15,8,2,AGR


1,52,15,2,2,AGR


1,53,15,56,8,AGR


1,53,15,0,8,AGR


1,54,15,56,8,AGR


1,55,8,0,8,AGR


1,55,8,0,2,AGR


1,56,25,56,8,AGR


1,57,8,0,0,AGR


0,58,0,0,0,AGR


