,BEARING,mean_iwp,std_iwp,freq_iwp,mean_ted,std_ted,freq_ted,mean_species,std_species,freq_species,in_out,island,species,population_status,hum_pop,distant_hum_pop,group
1,0,95375.64465,35054.60735,81189,0.283801906,0.483767745,29593,8.314873003,6.055104736,578934,1,AGR,CCA,0,0,0,8
2,10,103856.0343,25432.7515,79434,0.355841592,0.538628748,25983,7.92004137,5.559209804,576540,0,AGR,CCA,0,0,0,8
3,20,110612.665,15241.50589,75313,0.388763301,0.56361147,23042,7.661388271,5.210568264,540153,0,AGR,CCA,0,0,0,8
4,30,114914.8809,7975.233163,71162,0.397287187,0.571838606,21277,6.927579331,4.673121715,513234,0,AGR,CCA,0,0,0,8
5,40,116618.6369,4182.730973,66904,0.405080002,0.568988387,19476,6.718861428,4.59052364,503361,0,AGR,CCA,0,0,0,8
6,50,116360.1908,2924.752825,62511,0.383421166,0.538730359,18539,6.826389767,4.779898423,486171,0,AGR,CCA,0,0,0,8
7,60,115418.0807,4370.688457,59826,0.353891821,0.499977667,17619,6.804326857,5.003223763,456552,0,AGR,CCA,0,0,0,8
8,70,114097.4589,5786.39534,58712,0.315394427,0.447140693,16679,6.976256886,5.031409564,435816,0,AGR,CCA,0,0,0,8
9,80,112519.0446,6864.850873,58920,0.276256835,0.390926461,16343,7.10642134,4.841010726,429930,0,AGR,CCA,0,0,0,8
10,90,110739.6491,8622.207951,59381,0.239182829,0.334693206,15645,6.913583562,4.817277027,426258,0,AGR,CCA,0,0,0,8
11,100,108324.5905,10901.93552,61939,0.209006876,0.299567903,15498,6.63271777,5.154070284,430857,0,AGR,CCA,0,0,0,8
12,110,105556.2616,11966.79415,65697,0.197437499,0.275452416,15279,6.456469934,5.690994492,443736,0,AGR,CCA,0,0,0,8
13,120,100878.4736,16546.65049,69125,0.220939176,0.276081666,14564,6.084161851,5.789061515,448758,0,AGR,CCA,0,0,0,8
14,130,95229.63994,20568.84995,73676,0.266368532,0.292316562,14283,5.977514262,5.892503051,478665,0,AGR,CCA,0,0,0,8
15,140,87120.93579,26843.45972,78241,0.309385656,0.325472906,13948,5.522047099,5.715248246,533268,0,AGR,CCA,0,0,0,8
16,150,76157.51585,32880.66005,82709,0.346339284,0.335390064,12827,5.077146941,5.388298435,589059,0,AGR,CCA,0,0,0,8
17,160,63218.36796,37704.82194,84225,0.385886119,0.323563354,11745,4.465119173,5.087785326,649557,0,AGR,CCA,0,0,0,8
18,170,48226.13464,39713.1328,85966,0.529698201,0.730169511,11259,3.970875141,4.813607268,713070,0,AGR,CCA,0,0,0,8
19,180,35483.17851,35068.73923,87328,1.193665151,2.00535078,11709,3.644014988,4.745749752,723510,0,AGR,CCA,0,0,0,8
20,190,24551.95438,25109.38338,84102,1.855651672,2.492606938,12695,3.914063625,5.373985858,704772,0,AGR,CCA,0,0,0,8
21,200,18190.93368,16440.5232,78551,2.085289633,2.666381684,12561,4.424867765,5.620456949,676278,0,AGR,CCA,0,0,0,8
22,210,14170.95489,11135.06805,73355,2.173043532,2.631762031,12640,4.493696474,5.64305555,623862,0,AGR,CCA,0,0,0,8
23,220,11993.35647,6436.809402,67201,2.219862741,2.589668584,12383,4.459035865,5.441532408,554760,0,AGR,CCA,0,0,0,8
24,230,10931.29021,3919.8979,61433,2.085668619,2.351059669,12195,4.577556162,5.089195837,517239,0,AGR,CCA,0,0,0,8
25,240,10834.32965,1934.404468,56892,1.83168186,1.952105374,12245,5.413018462,5.125998365,498006,0,AGR,CCA,0,0,0,8
26,250,11346.91045,2038.532597,54319,1.504489706,1.634907127,12442,6.025844577,5.079981488,497601,0,AGR,CCA,0,0,0,8
27,260,12022.37552,2296.676938,52762,1.269747526,1.404036118,12837,6.64638616,5.176640632,496269,0,AGR,CCA,0,0,0,8
28,270,12930.96933,2456.206358,52621,1.108570985,1.282979199,13988,6.986691371,5.259736815,495891,0,AGR,CCA,0,0,0,8
